playerID,gameID,type,totalIncome,adminTaskIncome,lossFAs,lossChecks,lossTADelays,lossMisses,monitoringLossTotal,numberOfUsefulChecks,numberOfUseLessChecks,numberOfChecksTotal,numberOfCheckIgnores,numberOfAttendedTAAlerts,numberOfAttendedFAAlerts,numberOfAttendedTAsTotal,numberOfAttendedTAsInCheck,numberOfAttendedMisses,numberOfClosedHighAlerts,numberOfClosedLowAlerts,numberOfAttendedHRAlerts,numberOfAttendedLRAlerts,numberOfDisplayedHRAlerts,numberOfDisplayedLRAlerts,proportionOfAttendedHRAlerts,proportionOfAttendedLRAlerts
15-missingdemo,exp2-8.txt,start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0
15-missingdemo,exp2-8.txt,card_correct,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0
15-missingdemo,exp2-8.txt,card_correct,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0
15-missingdemo,exp2-8.txt,card_correct,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0
15-missingdemo,exp2-8.txt,TA_high_displayed,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,-1.0
15-missingdemo,exp2-8.txt,TA_high_attended,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1.0,-1.0
15-missingdemo,exp2-8.txt,ok_displayed,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1.0,-1.0
15-missingdemo,exp2-8.txt,card_correct,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1.0,-1.0
15-missingdemo,exp2-8.txt,card_correct,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1.0,-1.0
15-missingdemo,exp2-8.txt,card_wrong,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1.0,-1.0
15-missingdemo,exp2-8.txt,FA_high_displayed,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0.5,-1.0
15-missingdemo,exp2-8.txt,FA_high_attended,-8.0,16.0,-24.0,0.0,0.0,0.0,-24.0,0,0,0,0,1,1,1,0,0,0,0,2,0,2,0,1.0,-1.0
15-missingdemo,exp2-8.txt,card_correct,-4.0,20.0,-24.0,0.0,0.0,0.0,-24.0,0,0,0,0,1,1,1,0,0,0,0,2,0,2,0,1.0,-1.0
15-missingdemo,exp2-8.txt,useless_check,-14.0,20.0,-24.0,-10.0,0.0,0.0,-34.0,0,1,1,0,1,1,1,0,0,0,0,2,0,2,0,1.0,-1.0
15-missingdemo,exp2-8.txt,check_closed,-14.0,20.0,-24.0,-10.0,0.0,0.0,-34.0,0,1,1,0,1,1,1,0,0,0,0,2,0,2,0,1.0,-1.0
15-missingdemo,exp2-8.txt,card_correct,-10.0,24.0,-24.0,-10.0,0.0,0.0,-34.0,0,1,1,0,1,1,1,0,0,0,0,2,0,2,0,1.0,-1.0
15-missingdemo,exp2-8.txt,FA_high_displayed,-10.0,24.0,-24.0,-10.0,0.0,0.0,-34.0,0,1,1,0,1,1,1,0,0,0,0,2,0,3,0,0.6666666666666666,-1.0
15-missingdemo,exp2-8.txt,FA_high_attended,-34.0,24.0,-48.0,-10.0,0.0,0.0,-58.0,0,1,1,0,1,2,1,0,0,0,0,3,0,3,0,1.0,-1.0
15-missingdemo,exp2-8.txt,ok_displayed,-34.0,24.0,-48.0,-10.0,0.0,0.0,-58.0,0,1,1,0,1,2,1,0,0,0,0,3,0,3,0,1.0,-1.0
15-missingdemo,exp2-8.txt,card_correct,-30.0,28.0,-48.0,-10.0,0.0,0.0,-58.0,0,1,1,0,1,2,1,0,0,0,0,3,0,3,0,1.0,-1.0
15-missingdemo,exp2-8.txt,card_correct,-26.0,32.0,-48.0,-10.0,0.0,0.0,-58.0,0,1,1,0,1,2,1,0,0,0,0,3,0,3,0,1.0,-1.0
15-missingdemo,exp2-8.txt,card_correct,-22.0,36.0,-48.0,-10.0,0.0,0.0,-58.0,0,1,1,0,1,2,1,0,0,0,0,3,0,3,0,1.0,-1.0
15-missingdemo,exp2-8.txt,TA_low_displayed,-22.0,36.0,-48.0,-10.0,0.0,0.0,-58.0,0,1,1,0,1,2,1,0,0,0,0,3,0,3,1,1.0,0.0
15-missingdemo,exp2-8.txt,TA_low_attended,-22.0,36.0,-48.0,-10.0,0.0,0.0,-58.0,0,1,1,0,2,2,2,0,0,0,0,3,1,3,1,1.0,1.0
15-missingdemo,exp2-8.txt,ok_displayed,-22.0,36.0,-48.0,-10.0,0.0,0.0,-58.0,0,1,1,0,2,2,2,0,0,0,0,3,1,3,1,1.0,1.0
15-missingdemo,exp2-8.txt,card_correct,-18.0,40.0,-48.0,-10.0,0.0,0.0,-58.0,0,1,1,0,2,2,2,0,0,0,0,3,1,3,1,1.0,1.0
15-missingdemo,exp2-8.txt,card_correct,-14.0,44.0,-48.0,-10.0,0.0,0.0,-58.0,0,1,1,0,2,2,2,0,0,0,0,3,1,3,1,1.0,1.0
15-missingdemo,exp2-8.txt,TA_low_displayed,-14.0,44.0,-48.0,-10.0,0.0,0.0,-58.0,0,1,1,0,2,2,2,0,0,0,0,3,1,3,2,1.0,0.5
15-missingdemo,exp2-8.txt,TA_low_attended,-14.0,44.0,-48.0,-10.0,0.0,0.0,-58.0,0,1,1,0,3,2,3,0,0,0,0,3,2,3,2,1.0,1.0
15-missingdemo,exp2-8.txt,ok_displayed,-14.0,44.0,-48.0,-10.0,0.0,0.0,-58.0,0,1,1,0,3,2,3,0,0,0,0,3,2,3,2,1.0,1.0
15-missingdemo,exp2-8.txt,card_correct,-10.0,48.0,-48.0,-10.0,0.0,0.0,-58.0,0,1,1,0,3,2,3,0,0,0,0,3,2,3,2,1.0,1.0
15-missingdemo,exp2-8.txt,card_correct,-6.0,52.0,-48.0,-10.0,0.0,0.0,-58.0,0,1,1,0,3,2,3,0,0,0,0,3,2,3,2,1.0,1.0
15-missingdemo,exp2-8.txt,TA_high_displayed,-6.0,52.0,-48.0,-10.0,0.0,0.0,-58.0,0,1,1,0,3,2,3,0,0,0,0,3,2,4,2,0.75,1.0
15-missingdemo,exp2-8.txt,card_correct,-2.0,56.0,-48.0,-10.0,0.0,0.0,-58.0,0,1,1,0,3,2,3,0,0,0,0,3,2,4,2,0.75,1.0
15-missingdemo,exp2-8.txt,TA_high_attended,-2.0,56.0,-48.0,-10.0,0.0,0.0,-58.0,0,1,1,0,4,2,4,0,0,0,0,4,2,4,2,1.0,1.0
15-missingdemo,exp2-8.txt,ok_displayed,-2.0,56.0,-48.0,-10.0,0.0,0.0,-58.0,0,1,1,0,4,2,4,0,0,0,0,4,2,4,2,1.0,1.0
15-missingdemo,exp2-8.txt,card_correct,2.0,60.0,-48.0,-10.0,0.0,0.0,-58.0,0,1,1,0,4,2,4,0,0,0,0,4,2,4,2,1.0,1.0
15-missingdemo,exp2-8.txt,card_correct,6.0,64.0,-48.0,-10.0,0.0,0.0,-58.0,0,1,1,0,4,2,4,0,0,0,0,4,2,4,2,1.0,1.0
15-missingdemo,exp2-8.txt,TA_high_displayed,6.0,64.0,-48.0,-10.0,0.0,0.0,-58.0,0,1,1,0,4,2,4,0,0,0,0,4,2,5,2,0.8,1.0
